@relation arousal
            
@attribute Angry numeric
@attribute ConcentrationLevel numeric
@attribute Embarrassment numeric
@attribute Excitement numeric
@attribute Hesitation numeric
@attribute ImaginationActivity numeric
@attribute IntensiveThinking numeric
@attribute Content numeric
@attribute SAF numeric
@attribute Upset numeric
@attribute ExtremeState numeric
@attribute Stress numeric
@attribute Uncertainty numeric
@attribute Energy numeric
@attribute BrainPower numeric
@attribute EmoCogRatio numeric
@attribute MaxAmpVol numeric
@attribute VoiceEnergy numeric
@attribute arousal {-2,-1,0,1,2}

@data
28,0,14,26,15,5,16,30,0,0,30,0,3,50,2147,315,32767,51,1
28,0,14,26,17,7,10,30,0,0,29,2,4,50,2098,348,32767,640,1
27,17,0,24,19,7,5,30,0,0,30,2,4,50,1978,382,32767,20,1
30,9,0,28,17,5,7,30,0,0,30,0,1,50,2211,420,32767,31,1
14,5,0,30,12,2,6,28,0,0,24,2,12,26,2130,357,27648,46,1
30,0,7,30,17,4,8,30,2,0,30,2,3,50,2364,422,32767,31,1
26,0,21,26,12,2,7,30,0,0,25,4,7,50,2152,384,32767,41,1
16,0,7,26,17,6,8,27,0,0,20,4,10,31,2122,345,32767,195,1
24,1,0,22,15,15,2,30,0,0,19,2,6,47,1864,388,9983,87,1
20,0,14,22,15,16,1,28,1,0,19,2,6,40,1886,397,9471,61,1
24,0,0,21,12,14,3,30,0,0,23,2,5,47,1816,366,8703,26,1
20,8,0,22,15,14,2,29,0,0,20,2,6,41,1844,383,9215,51,1
18,0,7,21,17,16,3,23,0,0,19,3,6,36,1813,362,9471,82,1
17,0,28,21,19,9,2,24,0,0,17,4,7,36,1815,366,10751,87,1
27,19,0,22,17,0,5,30,10,0,30,1,2,50,1864,373,32767,189,2
28,9,0,23,15,6,21,30,0,0,30,2,1,50,1885,253,32767,527,2
26,6,0,20,19,4,4,30,7,0,30,2,3,50,1695,341,32767,87,2
26,3,0,21,15,4,13,30,0,0,30,3,2,50,1740,277,32767,492,2
26,0,14,18,8,0,0,0,0,0,30,0,1,50,1457,351,32767,164,2
24,0,7,17,12,2,5,29,0,0,30,2,2,50,1500,298,32767,358,2
27,0,21,21,15,0,2,0,1,0,30,0,1,50,1752,388,32767,415,2
28,0,0,24,12,1,10,30,0,0,30,0,1,50,1698,302,32767,67,2
26,0,30,21,11,0,7,30,0,0,30,2,2,50,1663,313,32767,138,2
27,0,7,21,21,6,13,0,2,0,30,2,1,50,1773,284,32767,195,2
27,0,0,21,17,7,16,0,1,0,30,0,1,50,1775,268,32767,82,2
27,0,14,22,15,4,6,30,3,0,30,2,2,50,1864,356,32767,353,2
27,2,0,21,19,3,1,30,7,0,30,0,1,50,1736,397,32767,287,2
27,0,14,23,17,0,1,30,1,0,30,1,3,50,1910,421,32767,82,2
27,0,28,21,15,3,1,30,0,0,30,0,1,50,1799,418,32767,20,2
27,0,7,21,12,0,3,30,0,0,30,0,1,50,1802,391,32767,251,2
26,0,14,20,15,6,16,0,0,0,30,1,1,50,1726,265,32767,287,2
0,0,7,19,10,0,0,0,0,0,11,0,0,0,1624,394,32767,528,2
26,0,21,20,15,1,7,30,0,0,30,1,1,50,1725,333,32767,292,2
28,0,7,23,17,0,3,30,1,0,30,2,2,50,1816,391,32767,51,2
28,0,0,23,17,0,0,30,0,0,30,0,0,50,1841,450,32767,56,2
28,0,0,22,15,1,6,30,1,0,30,0,1,50,1826,357,32767,635,2
26,0,7,20,10,5,12,30,0,0,30,1,1,50,1692,286,32767,599,2
