@relation arousal

@attribute Zcr numeric
@attribute Energy numeric
@attribute EnergyEntropy numeric
@attribute SpectralCentroid numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute HarmonicRatio numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute arousal {-2,-1,0,1,2}

@data
43,3,3,80,130,12,369,5,-37,5,1,0,0,1,1,0,0,-1,0,0,0,1,132,8,11,1,5,6,2,5,2,2,1,9,3,-164,50,-16,47,-15,-4,-1,18,-18,1
36,4,3,56,94,12,309,4,-38,5,1,1,1,1,1,0,0,-1,0,0,0,1,132,1,19,2,4,7,2,4,1,3,7,4,2,-200,121,-51,54,-27,-3,1,26,-38,1
37,4,3,56,83,14,231,6,-37,6,0,1,0,1,1,0,0,0,0,0,0,1,103,3,7,3,5,3,6,4,1,2,5,18,4,-218,128,-11,29,-34,-6,12,13,-24,1
38,5,3,70,110,19,246,5,-37,5,1,0,0,1,1,0,0,-1,0,0,0,1,113,3,11,2,4,8,4,5,2,2,8,10,2,-201,121,-50,54,-28,5,-6,18,-29,1
40,3,3,56,88,6,267,6,-37,6,1,1,0,1,1,0,0,0,0,0,0,1,104,2,11,2,5,3,7,2,1,1,7,12,2,-199,88,4,32,-32,2,5,22,-27,1
38,7,3,57,87,4,295,5,-36,5,1,1,0,1,1,0,0,-1,0,0,0,1,117,7,11,4,4,6,3,5,2,2,4,6,6,-212,118,-8,18,-26,2,14,14,-29,1
33,2,3,63,112,9,316,4,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,116,1,20,2,3,5,2,6,1,3,4,5,1,-178,78,-28,52,-25,-11,11,25,-34,1
36,3,3,54,86,6,290,5,-37,6,1,1,0,1,1,0,0,0,0,0,0,1,108,13,9,1,6,4,2,4,2,2,2,10,3,-205,108,-15,36,-28,-5,17,15,-34,1
35,4,3,65,105,4,344,5,-37,5,1,1,0,1,1,0,0,0,0,0,0,1,121,4,10,1,7,4,5,3,2,5,2,10,3,-181,73,-11,30,-10,-5,7,13,-26,1
44,2,3,63,102,11,222,6,-37,5,1,0,0,1,1,0,0,0,0,0,0,1,126,2,12,4,6,3,6,3,1,1,6,13,1,-192,85,-7,36,-19,-11,5,16,-21,1
39,5,3,59,96,9,342,5,-37,5,0,1,0,1,1,0,0,-1,0,0,0,1,116,2,16,4,7,5,6,5,1,1,8,5,2,-209,127,-28,30,-20,-11,10,15,-23,1
40,3,3,65,98,12,318,6,-37,6,1,0,0,1,1,0,0,0,0,0,0,1,135,8,9,1,12,7,4,5,2,2,3,11,3,-197,87,9,26,-34,2,8,20,-28,1
35,2,3,53,86,7,268,5,-37,6,1,1,0,1,1,0,0,-1,0,0,0,1,105,5,13,1,4,4,6,4,1,2,7,10,3,-192,80,1,31,-18,-7,6,13,-17,1
30,6,3,54,92,4,294,5,-37,5,1,1,0,1,1,0,0,-1,0,0,0,1,127,3,14,2,7,8,9,6,1,1,6,3,1,-198,96,-7,29,-22,-12,12,17,-25,1
39,6,3,57,92,4,380,5,-37,5,1,1,0,1,1,0,0,-1,0,0,0,1,116,4,15,3,4,3,2,3,1,3,3,5,5,-202,107,-20,29,-16,1,10,11,-27,1
33,2,3,49,83,6,246,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,107,5,14,1,4,4,4,2,1,1,5,8,2,-197,98,-15,35,-28,2,10,14,-28,1
41,3,3,67,101,19,347,6,-37,5,1,0,0,1,1,0,0,0,0,0,0,1,140,7,13,3,9,6,2,5,1,2,5,4,2,-194,101,-21,27,-16,1,1,17,-22,1
