Name,Zcr,Energy,EnergyEntropy,SpecCentro,SpecCentroSpread,SpecEntropy,SpecFlux,SpecRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,HarmonicRatio,F0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12
alex_boredom.wav,32,1,2,57,94,22,236,5,-40,5,1,1,1,1,1,0,-0,-0,-0,0,0,0,132,0,1,1,11,2,1,1,2,0,0,10,0,
alex_disgust.wav,37,3,2,66,108,9,185,5,-38,5,1,1,1,1,1,1,-0,-0,-0,0,0,1,120,0,6,1,14,1,1,0,1,0,0,5,0,
alex_disgust.wav,45,5,2,70,105,26,270,6,-37,5,1,1,0,0,1,0,-0,-0,-0,0,0,1,138,1,5,1,9,2,1,0,5,0,0,6,0,
alex_disgust.wav,33,4,2,56,89,9,246,5,-39,5,1,1,0,0,1,0,-0,-0,-0,0,0,1,118,0,4,1,9,1,1,0,5,0,0,7,0,
alex_disgust.wav,38,3,2,77,126,15,239,5,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,133,1,3,1,11,1,1,0,3,0,0,7,0,
alex_disgust.wav,47,6,2,72,106,18,237,6,-37,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,129,1,6,2,9,1,1,1,4,0,0,5,0,
alex_disgust.wav,33,1,2,73,133,8,310,4,-40,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,121,2,3,0,12,1,1,0,2,0,0,7,0,
alex_disgust.wav,40,4,3,67,108,17,311,5,-39,5,1,1,0,1,1,0,-0,-1,-0,0,0,1,148,1,1,1,11,2,1,0,2,0,0,8,0,
alex_disgust.wav,43,3,2,80,125,21,277,5,-39,5,1,0,0,1,1,0,-0,-0,-0,0,0,1,133,1,4,1,8,1,1,1,2,0,0,10,0,
alex_disgust.wav,37,4,2,63,107,17,304,4,-39,4,1,1,1,1,1,0,-0,-0,-0,0,0,1,144,1,2,0,15,2,1,0,2,0,0,5,0,
alex_disgust.wav,37,4,2,61,87,22,282,6,-38,6,1,1,0,1,1,0,-0,-0,-0,0,0,0,105,1,2,2,5,1,3,0,1,0,0,12,0,
alex_disgust.wav,40,5,2,70,107,18,270,5,-38,5,1,1,0,1,1,0,-0,-1,-0,0,0,0,133,1,2,2,8,2,1,0,2,0,0,9,0,
alex_disgust.wav,41,3,2,60,87,16,270,6,-38,6,1,0,0,1,1,0,-0,-0,-0,0,0,0,133,0,2,1,5,1,4,0,1,0,0,13,0,
alex_disgust.wav,42,7,2,64,92,16,259,5,-37,5,1,0,-0,1,1,0,-0,-0,-0,0,0,1,138,1,3,1,10,1,1,0,2,0,0,9,0,
alex_disgust.wav,35,2,2,68,120,11,245,4,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,126,0,3,1,12,1,0,0,4,0,0,5,0,
alex_disgust.wav,37,3,2,61,95,10,276,5,-38,5,1,1,0,0,0,0,-0,-0,-0,0,0,1,122,1,7,1,6,1,1,0,2,0,0,10,0,
alex_disgust.wav,36,4,2,69,107,10,238,5,-38,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,123,1,3,1,10,1,2,0,3,0,0,8,0,
alex_disgust.wav,45,2,2,70,105,20,248,6,-38,5,1,0,0,1,1,0,-0,-0,-0,0,0,0,119,0,1,3,7,1,4,0,1,0,0,11,0,
alex_disgust.wav,39,5,2,64,99,21,246,5,-39,5,0,1,0,1,1,0,-0,-0,-0,0,0,1,131,1,2,2,13,0,1,0,2,0,0,7,0,
alex_disgust.wav,41,3,2,69,101,22,277,6,-38,6,1,0,-0,1,1,0,-0,-0,-0,0,0,1,131,1,4,1,10,1,2,0,1,0,0,9,0,
alex_disgust.wav,35,2,2,58,92,14,294,5,-39,5,1,1,0,1,0,0,-0,-0,-0,0,0,0,110,1,2,0,7,1,2,1,2,0,0,11,0,
alex_disgust.wav,31,6,2,62,103,7,215,5,-38,5,1,1,0,1,1,0,0,-0,-0,0,0,1,125,1,2,1,16,1,2,0,4,0,0,3,0,
alex_disgust.wav,39,6,2,61,92,10,255,5,-38,5,1,1,0,0,0,0,-0,-0,-0,0,0,1,145,1,6,1,8,0,1,0,2,0,0,9,0,
alex_disgust.wav,33,2,2,57,96,13,332,4,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,113,0,3,1,9,1,1,0,1,0,0,9,0,
alex_disgust.wav,43,3,2,68,97,24,300,5,-38,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,156,1,4,1,10,1,1,1,2,0,0,6,0,
