User Name,User Number,Interaction Type,Interaction Date Time
Test User, 1, Daily Companion End of Day, 2016-01-22_13-00-03
Test User, 1, Daily Companion End of Day, 2016-01-22_13-10-44
Test User, 1, Daily Companion End of Day, 2016-01-22_13-11-56
Test User, 1, Daily Companion End of Day, 2016-01-22_13-13-21
Test User, 1, Daily Companion End of Day, 2016-01-22_13-42-21
Test User, 1, Daily Companion Morning, 2016-01-22_13-43-22
Test User, 1, Daily Companion Morning, 2016-01-22_13-44-24
Test User, 1, Daily Companion Morning, 2016-01-22_15-23-11
Test User, 1, Daily Companion Morning, 2016-01-22_15-27-43
Test User, 1, Daily Companion Morning, 2016-01-22_15-51-05
Test User, 1, Daily Companion Morning, 2016-01-22_15-52-56
Test User, 1, Daily Companion Morning, 2016-01-22_15-54-12
Test User, 1, Daily Companion Morning, 2016-01-22_15-55-00
Test User, 1, Daily Companion Morning, 2016-01-22_15-57-33
Test User, 1, Daily Companion Morning, 2016-01-22_16-00-38
Test User, 1, Daily Companion Morning, 2016-01-24_22-43-10
Test User, 1, Daily Companion Morning, 2016-01-24_22-43-46
Test User, 1, Daily Companion Morning, 2016-01-24_22-44-23
Test User, 1, Daily Companion Morning, 2016-01-24_22-45-06
Test User, 1, Daily Companion Morning, 2016-01-24_22-45-59
Test User, 1, Daily Companion Morning, 2016-01-24_22-48-44
Test User, 1, Daily Companion Morning, 2016-01-24_22-55-22
Test User, 1, Daily Companion Morning, 2016-01-24_23-04-09
Test User, 1, Daily Companion Morning, 2016-01-24_23-06-24
Test User, 1, Daily Companion Morning, 2016-01-24_23-07-43
Test User, 1, Daily Companion Morning, 2016-01-24_23-24-02
Test User, 1, Daily Companion Morning, 2016-01-24_23-25-30
Test User, 1, Daily Companion Morning, 2016-01-24_23-30-37
Test User, 1, Daily Companion End of Day, 2016-01-24_23-36-20
Test User, 1, Daily Companion End of Day, 2016-01-24_23-38-45
Test User, 1, Daily Companion End of Day, 2016-01-24_23-41-19
Test User, 3, Daily Companion Morning, 2016-01-25_10-36-16
Test User, 3, Daily Companion Morning, 2016-01-25_10-44-29
Test User, 3, Daily Companion Morning, 2016-01-25_10-55-43
Test User, 3, Daily Companion End of Day, 2016-01-25_11-32-10
Test User, 3, Daily Companion End of Day, 2016-01-25_11-48-06
Test User, 3, Daily Companion End of Day, 2016-01-25_11-50-15
Test User, 3, Daily Companion End of Day, 2016-01-25_11-50-49
Test User, 3, Daily Companion Morning, 2016-01-25_11-52-46
Test User, 3, Daily Companion Morning, 2016-01-25_11-56-28
Test User, 3, Daily Companion Morning, 2016-01-25_12-02-16
Test User, 3, Daily Companion End of Day, 2016-01-25_12-11-13
Test User, 3, Daily Companion End of Day, 2016-01-25_13-29-13
Test User, 1, Daily Companion Morning, 2016-01-25_13-30-47
Test User, 1, Daily Companion Morning, 2016-01-25_13-31-25
Test User, 1, Daily Companion Morning, 2016-01-25_13-33-56
Test User, 1, Daily Companion Morning, 2016-01-25_13-35-41
Test User, 1, Daily Companion Morning, 2016-01-25_13-37-24
Test User, 1, Daily Companion Morning, 2016-01-25_13-56-08
Test User, 1, Daily Companion Morning, 2016-01-25_13-56-38
Test User, 1, Daily Companion Morning, 2016-01-25_13-56-42
Test User, 1, Daily Companion Morning, 2016-01-25_14-00-54
Test User, 1, Daily Companion Morning, 2016-01-25_14-09-06
Test User, 1, Daily Companion Morning, 2016-01-25_14-13-19
Test User, 1, Daily Companion End of Day, 2016-01-25_14-17-47
Test User, 1, Daily Companion End of Day, 2016-01-25_16-05-16
Test User, 1, Daily Companion End of Day, 2016-01-25_16-07-32
Test User, 1, Daily Companion End of Day, 2016-01-25_17-31-57
Test User, 1, Daily Companion End of Day, 2016-01-25_17-35-58
Test User, 1, Daily Companion End of Day, 2016-01-25_17-37-39
Test User, 1, Daily Companion End of Day, 2016-01-25_17-40-54
Test User, 1, Daily Companion End of Day, 2016-01-25_17-50-26
Test User, 1, Daily Companion End of Day, 2016-01-25_18-00-19
Test User, 1, Daily Companion End of Day, 2016-01-25_18-23-49
Test User, 1, Daily Companion End of Day, 2016-01-25_18-27-20
Test User, 1, Daily Companion End of Day, 2016-01-26_10-48-44
Test User, 1, Daily Companion End of Day, 2016-01-26_11-00-15
Test User, 1, Daily Companion End of Day, 2016-01-26_11-30-08
Test User, 1, Daily Companion Morning, 2016-01-26_11-38-23
Test User, 1, Daily Companion Morning, 2016-01-26_11-59-17
Test User, 1, Daily Companion Morning, 2016-01-26_12-05-05
Test User, 1, Daily Companion Morning, 2016-01-26_12-06-10
Test User, 1, Daily Companion Morning, 2016-01-26_12-07-18
Test User, 1, Daily Companion Morning, 2016-01-26_12-10-11
Test User, 1, Daily Companion Morning, 2016-01-26_12-13-18
Test User, 1, Daily Companion Morning, 2016-01-26_12-13-58
Test User, 1, Daily Companion Morning, 2016-01-26_12-18-58
Test User, 1, Daily Companion Morning, 2016-01-26_12-20-10
Test User, 1, Daily Companion Morning, 2016-01-26_12-21-55
Test User, 1, Daily Companion Morning, 2016-01-26_13-46-52
Test User, 1, Daily Companion Morning, 2016-01-26_13-48-06
Test User, 1, Daily Companion Morning, 2016-01-26_13-49-11
Test User, 1, Daily Companion Morning, 2016-01-26_13-52-46
Test User, 1, Daily Companion Morning, 2016-01-26_14-00-12
Test User, 1, Daily Companion Morning, 2016-01-26_14-02-18
Test User, 1, Daily Companion Morning, 2016-01-26_14-17-44
Test User, 1, Daily Companion Morning, 2016-01-26_14-26-21
Test User, 1, Daily Companion End of Day, 2016-01-26_14-36-24
Test User, 1, Daily Companion End of Day, 2016-01-26_14-40-14
Test User, 1, Daily Companion End of Day, 2016-01-26_14-41-00
Test User, 1, Daily Companion End of Day, 2016-01-26_14-50-13
Test User, 1, Daily Companion End of Day, 2016-01-26_14-51-13
